Date,Open,Close,High,Low,Volume
20161017 000000,3064.69,3041.17,3068.81,3033.75,163733265
20161018 000000,3037.4,3083.88,3084.19,3037.4,182042460
20161019 000000,3085.75,3084.72,3096.22,3076.77,182470143
20161020 000000,3084.91,3084.46,3089.68,3076.29,160691364
20161021 000000,3081.39,3090.94,3101.85,3069.27,187388072
20161024 000000,3092.05,3128.25,3137.03,3090.79,240522349
20161025 000000,3127.97,3131.94,3132.5,3121.05,203380898
20161026 000000,3129.84,3116.31,3129.84,3110.39,191663263
20161027 000000,3112.6,3112.35,3114.76,3100.39,158008789
20161028 000000,3111.7,3104.27,3128.64,3101.24,181774123
20161031 000000,3097.19,3100.49,3102.3,3081.07,151506764
20161101 000000,3101.66,3122.44,3122.61,3097.04,160232032
20161102 000000,3115.73,3102.73,3118.98,3099.82,182722067
20161103 000000,3096.76,3128.94,3140.93,3094.1,222986260
20161104 000000,3126.35,3125.32,3141.33,3119.54,197683197
20161107 000000,3124.89,3133.33,3139.2,3117.1,179418490
20161108 000000,3140.94,3147.89,3156.88,3134.95,190846979
20161109 000000,3146.08,3128.37,3146.95,3096.95,241114958
20161110 000000,3148.54,3171.28,3172.31,3148.54,244192602
20161111 000000,3169.4,3196.04,3202.74,3166.07,310854579
20161114 000000,3187.71,3210.37,3221.46,3186.8,329608313
20161115 000000,3209.95,3206.99,3214.29,3195.04,240886350
20161116 000000,3208.5,3205.06,3210.89,3195.41,221766993
20161117 000000,3198.5,3208.45,3211.05,3187.21,214206240
20161118 000000,3207.19,3192.86,3212.39,3187.5,209826639
20161121 000000,3188.5,3218.15,3229.76,3188.28,230652844
20161122 000000,3220.98,3248.35,3249.68,3220.98,261631547
20161123 000000,3247.94,3241.14,3262.88,3231.59,249959592
20161124 000000,3237.43,3241.74,3257.86,3232.87,232324527
20161125 000000,3241.24,3261.94,3262.44,3209.6,233921601
20161128 000000,3270.05,3277,3288.34,3267.67,281551253
20161129 000000,3269.23,3282.92,3301.21,3263.4,320836287
20161130 000000,3272.14,3250.03,3277.27,3239.52,243576053
20161201 000000,3257.03,3273.31,3279.67,3256.26,237759864
20161202 000000,3270.12,3243.84,3279.71,3235.28,259567205
20161205 000000,3203.78,3204.71,3219.52,3194.88,223010394
20161206 000000,3202.03,3199.65,3215.31,3196.52,157572693
20161207 000000,3198.47,3222.24,3222.43,3189.49,169072847
20161208 000000,3225.55,3215.37,3228.12,3211.47,170710173
20161209 000000,3209.34,3232.88,3244.8,3207.04,204023956
20161212 000000,3233.67,3152.97,3245.09,3149.9,274708461
20161213 000000,3138.99,3155.04,3162.5,3118.71,185164495
20161214 000000,3149.38,3140.53,3170.02,3136.35,201358887
20161215 000000,3125.76,3117.68,3138.78,3100.91,189990626
20161216 000000,3111.51,3122.98,3128.87,3106.35,164988699
20161219 000000,3120.7,3118.08,3125.28,3110.08,154169716
20161220 000000,3115.9,3102.88,3117.01,3084.8,157426759
20161221 000000,3107.24,3137.43,3140.25,3107.24,186706607
20161222 000000,3132.16,3139.56,3143.17,3126.89,167804990
20161223 000000,3134.93,3110.15,3138.4,3103.75,166176769
20161226 000000,3095.58,3122.57,3122.88,3068.42,152571881
20161227 000000,3117.39,3114.66,3127.88,3113.75,141528939
20161228 000000,3113.77,3102.24,3118.78,3094.55,135727087
20161229 000000,3095.84,3096.1,3111.8,3087.34,132623292
20161230 000000,3097.35,3103.64,3108.84,3089.99,133267130
20170103 000000,3105.31,3135.92,3136.46,3105.31,141567187
20170104 000000,3133.79,3158.79,3160.1,3130.11,167860850
20170105 000000,3157.91,3165.41,3168.5,3154.28,174727645
20170106 000000,3163.78,3154.32,3172.03,3153.03,183708966
20170109 000000,3148.53,3171.24,3173.14,3147.74,171714075
20170110 000000,3167.57,3161.67,3174.58,3157.33,179759216
20170111 000000,3156.69,3136.75,3167.03,3136.27,178362221
20170112 000000,3133.6,3119.29,3144.97,3115.98,148889240
20170113 000000,3116.08,3112.76,3130.51,3102.16,156274214
20170116 000000,3104.49,3103.43,3105.14,3044.29,257885996
20170117 000000,3087.03,3108.77,3108.91,3072.34,136157861
20170118 000000,3104.77,3113.01,3123.72,3098.59,131780128
20170119 000000,3104.97,3101.3,3115.78,3094.01,123851420
20170120 000000,3095.82,3123.14,3125.66,3095.21,122366777
20170123 000000,3125.42,3136.77,3145.84,3125.42,132660392
20170124 000000,3134.59,3142.55,3149.53,3131.22,125973881
20170125 000000,3137.65,3149.55,3151.47,3133.19,112073827
20170126 000000,3149.22,3159.17,3163.1,3148.91,113876772
20170203 000000,3160.08,3140.17,3162.68,3136.01,92224736
20170206 000000,3143.09,3156.98,3158.84,3135.39,127198283
20170207 000000,3154.4,3153.09,3159.54,3140.04,128337442
20170208 000000,3148.09,3166.98,3167.45,3132.03,144920187
20170209 000000,3164.69,3183.18,3186.84,3162.57,191640327
20170210 000000,3183.01,3196.7,3205.05,3182.8,239348913
20170213 000000,3198.99,3216.84,3219.41,3198.99,220191508
20170214 000000,3216.14,3217.93,3219.4,3205.29,188798088
20170215 000000,3215.46,3212.99,3236,3206.56,241507706
20170216 000000,3210.36,3229.62,3230.28,3207.79,216955942
20170217 000000,3227.71,3202.08,3238.4,3199.42,226228177
20170220 000000,3198.96,3239.96,3241.46,3198.96,232152096
20170221 000000,3242.22,3253.33,3254.34,3239.88,211673066
20170222 000000,3252.69,3261.22,3261.38,3243.84,207453776
20170223 000000,3258.83,3251.38,3264.08,3236.35,209179800
20170224 000000,3246.86,3253.43,3253.96,3233.53,186406362
20170227 000000,3249.19,3228.66,3251.65,3224.09,182581071
20170228 000000,3225.97,3241.73,3242.68,3225.97,151244318
20170301 000000,3240.07,3246.93,3259.98,3237.87,190677550
20170302 000000,3250.52,3230.03,3256.81,3228.66,181215076
20170303 000000,3219.2,3218.31,3221.16,3206.61,157082368
20170306 000000,3217.33,3233.87,3234.66,3215.07,156092158
20170307 000000,3233.09,3242.41,3242.66,3226.82,164064235
20170308 000000,3240.53,3240.66,3245.3,3230.61,160731388
20170309 000000,3233.7,3216.75,3233.88,3205.28,167371108
20170310 000000,3213.73,3212.76,3222.32,3208.45,136672743
20170313 000000,3209.45,3237.02,3237.12,3193.16,163673760
20170314 000000,3235.25,3239.33,3246.33,3231.52,146946022
20170315 000000,3235.4,3241.76,3243.71,3227.74,144055682
20170316 000000,3247.16,3268.94,3269.77,3247.16,189416002
20170317 000000,3271.87,3237.45,3274.19,3232.28,200583223
20170320 000000,3241.11,3250.81,3251.13,3228.12,170548430
20170321 000000,3250.25,3261.61,3262.22,3246.7,162719306
20170322 000000,3246.22,3245.22,3255.78,3229.13,189731649
20170323 000000,3245.81,3248.55,3262.09,3221.93,193029144
20170324 000000,3247.35,3269.45,3275.21,3241.12,219777914
20170327 000000,3268.92,3266.96,3283.24,3262.12,201852675
20170328 000000,3265.63,3252.95,3265.63,3246.09,161710013
20170329 000000,3252.87,3241.31,3262.1,3233.28,216105575
20170330 000000,3235.14,3210.24,3240.02,3195.85,247135479
20170331 000000,3206.25,3222.51,3226.25,3205.54,196442922
20170405 000000,3235.66,3270.31,3270.65,3233.24,248320202
20170406 000000,3272.19,3281,3286.67,3265.76,245287999
20170407 000000,3280.62,3286.62,3295.19,3275.05,236108942
20170410 000000,3285.46,3269.39,3285.46,3265.01,232694616
20170411 000000,3266.22,3288.97,3290.39,3244.4,281281248
20170412 000000,3283.84,3273.83,3284.93,3262.28,269381790
20170413 000000,3265.22,3275.96,3281.14,3261.49,207346875
20170414 000000,3276.14,3246.07,3276.71,3238.9,214508558
20170417 000000,3229.95,3222.17,3229.95,3199.91,212737189
20170418 000000,3215.4,3196.71,3225.05,3196.49,188661353
20170419 000000,3184.67,3170.69,3189.44,3147.07,213238075
20170420 000000,3165.67,3172.1,3178.18,3148.18,190873985
20170421 000000,3170.29,3173.15,3180.79,3158.63,164761740
20170424 000000,3164.25,3129.53,3164.25,3111.21,186277434
20170425 000000,3123.89,3134.57,3145.27,3117.45,153418307
20170426 000000,3132.92,3140.85,3152.95,3131.42,169878107
20170427 000000,3131.35,3152.19,3155,3097.33,211793073
20170428 000000,3144.02,3154.66,3154.73,3136.58,162889899
20170502 000000,3147.23,3143.71,3154.78,3136.54,154222962
20170503 000000,3138.31,3135.35,3148.29,3123.75,163763924
20170504 000000,3127.11,3127.37,3143.82,3111.39,177967485
20170505 000000,3114.77,3103.04,3117.61,3092.09,176213641
20170508 000000,3090.07,3078.61,3093.45,3067.69,180526904
20170509 000000,3064.85,3080.53,3084.21,3056.56,135066674
20170510 000000,3078.17,3052.78,3090.82,3051.59,160794452
20170511 000000,3036.79,3061.5,3063.56,3016.53,191341901
20170512 000000,3054.11,3083.51,3090.49,3051.87,159684099
20170515 000000,3085.93,3090.23,3098.91,3085.93,135660728
20170516 000000,3082.87,3112.96,3113.51,3060.53,173775564
20170517 000000,3107.8,3104.44,3119.58,3101.3,168674158
20170518 000000,3082.33,3090.14,3103.44,3077.96,148620035
20170519 000000,3086.71,3090.63,3095.48,3081.28,129635230
20170522 000000,3087.17,3075.68,3103.94,3063.15,153683730
20170523 000000,3069.39,3061.95,3084.24,3050.84,178310599
20170524 000000,3047.57,3064.08,3064.81,3022.3,139813353
20170525 000000,3055.34,3107.83,3114.66,3052.83,191391841
20170526 000000,3101.29,3110.06,3120.66,3100.39,155923486
20170531 000000,3125.33,3117.18,3143.28,3111.56,152950430
20170601 000000,3108.42,3102.62,3113.52,3097.68,163015719
20170602 000000,3094.23,3105.54,3110.39,3081.85,142504925
20170605 000000,3102.11,3091.66,3105.51,3084.83,132570300
20170606 000000,3084.54,3102.13,3102.86,3078.79,113439963
20170607 000000,3101.76,3140.32,3140.77,3098.95,173229014
20170608 000000,3136.47,3150.33,3153.26,3132.83,152277659
20170609 000000,3147.45,3158.4,3165.92,3146.11,160136334
20170612 000000,3149.53,3139.88,3164.95,3135.31,146729425
20170613 000000,3134.01,3153.74,3155.99,3131.04,128318279
20170614 000000,3146.75,3130.67,3149.17,3125.35,138347042
20170615 000000,3125.59,3132.49,3137.59,3117.08,146954245
20170616 000000,3126.37,3123.17,3134.25,3117.86,129652758
20170619 000000,3122.16,3144.37,3146.77,3121.78,134891758
